_id,Year,MUNO,forest_name,Product_Type,Spp_Group1,Spp_Group3,Volume
1,2018,220,Bancroft-Minden (220),Fuelwood,Maple,Hardwood,17455.4043
2,2018,220,Bancroft-Minden (220),Fuelwood,Yellow Birch,Hardwood,348.2839966
3,2018,220,Bancroft-Minden (220),Fuelwood,Oak,Hardwood,371.8089905
4,2018,220,Bancroft-Minden (220),Fuelwood,Other Hardwood,Hardwood,6023.130859
5,2018,220,Bancroft-Minden (220),Fuelwood,Other Hardwood,Hardwood,396.5840149
6,2018,220,Bancroft-Minden (220),Fuelwood,Other Hardwood,Hardwood,198.2920074
7,2018,220,Bancroft-Minden (220),Fuelwood,White Pine,Red/White Pine,0.158000007
8,2018,220,Bancroft-Minden (220),Fuelwood,White Birch,Poplar/Birch,1.605000019
9,2018,220,Bancroft-Minden (220),Pulp,Spruce,SPF,70.95600128
10,2018,220,Bancroft-Minden (220),Pulp,Balsam Fir,SPF,130.0789948
11,2018,220,Bancroft-Minden (220),Pulp,Maple,Hardwood,526.8070068
12,2018,220,Bancroft-Minden (220),Pulp,Yellow Birch,Hardwood,0.389999986
13,2018,220,Bancroft-Minden (220),Pulp,Oak,Hardwood,66.96700287
14,2018,220,Bancroft-Minden (220),Pulp,Other Hardwood,Hardwood,201.1089935
15,2018,220,Bancroft-Minden (220),Pulp,Other Hardwood,Hardwood,25.95499992
16,2018,220,Bancroft-Minden (220),Pulp,Other Hardwood,Hardwood,0.938000023
17,2018,220,Bancroft-Minden (220),Pulp,Other Hardwood,Hardwood,80.61000061
18,2018,220,Bancroft-Minden (220),Pulp,Other Hardwood,Hardwood,0.412999988
19,2018,220,Bancroft-Minden (220),Pulp,Maple,Hardwood,7684.578125
20,2018,220,Bancroft-Minden (220),Pulp,Yellow Birch,Hardwood,4.587999821
21,2018,220,Bancroft-Minden (220),Pulp,Oak,Hardwood,548.7379761
22,2018,220,Bancroft-Minden (220),Pulp,Other Hardwood,Hardwood,2037.332031
23,2018,220,Bancroft-Minden (220),Pulp,Other Hardwood,Hardwood,181.8869934
24,2018,220,Bancroft-Minden (220),Pulp,Other Hardwood,Hardwood,9.137000084
25,2018,220,Bancroft-Minden (220),Pulp,Other Hardwood,Hardwood,596.7810059
26,2018,220,Bancroft-Minden (220),Pulp,Other Hardwood,Hardwood,1.16900003
