OGF_ID,FMU_NAME,FMU_CODE,LICENSEE_NAME,LICENSEE_NUMBER,FMP_START_YEAR,FMP_END_YEAR,LEAD_MNR_DISTRICT_NAME,LEAD_MNR_REGION_NAME,BUSINESS_EFFECTIVE_DATE,SYSTEM_CALCULATED_AREA,GENERAL_COMMENTS,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SHAPE_AREA,SHAPE_LEN
131370113,Black Spruce Forest,35,Resolute FP Canada Inc.,542526,2011,2021,Thunder Bay,Northwest,04/01/2008,13702322147,,03/31/2021,03/31/2021,1.69635669,14.35699363
131370114,White River Forest,60,Nawiinginokiima Forest Management Corporation,550399,2018,2028,Wawa,Northeast,04/01/2002,6164001088,,03/31/2021,03/31/2021,0.752313512,5.903206189
131370115,Abitibi River Forest,110,Abitibi River Forest Management Inc.,551832,2012,2022,Cochrane,Northeast,04/01/2010,35863723993,,03/31/2021,03/31/2021,4.443463286,14.09458265
131370116,Trout Lake Forest,120,Domtar Inc.,542461,2019,2021,Red Lake,Northwest,04/01/1998,10320163593,,03/31/2021,03/31/2021,1.323787411,10.11841808
131370117,Wabigoon Forest,130,Domtar Inc.,541953,2019,2029,Dryden,Northwest,04/01/1997,7324863889,,03/31/2021,03/31/2021,0.912840765,19.58984083
131370118,Mazinaw-Lanark Forest,140,Mazinaw-Lanark Forest Inc.,542621,2011,2021,Bancroft,Southern,04/01/2001,9739440030,,03/31/2021,03/31/2021,1.109053943,5.945668525
131370119,Caribou Forest,175,Resolute FP Canada Inc.,542481,2020,2030,Sioux Lookout,Northwest,04/01/2008,7179861857,,03/31/2021,03/31/2021,0.912959617,6.956289149
131370120,Dog River-Matawin Forest,177,Resolute FP Canada Inc.,542459,2019,2021,Thunder Bay,Northwest,04/01/2008,10659336870,,03/31/2021,03/31/2021,1.305882942,5.590121298
131370121,Spanish Forest,210,EACOM Timber Corporation,542391,2020,2030,Sudbury,Northeast,04/01/2008,12348768925,,03/31/2021,03/31/2021,1.465549208,6.359336209
131370122,Bancroft-Minden Forest,220,Bancroft Minden Forest Company Inc.,542585,2011,2021,Bancroft,Southern,04/01/2001,9915781221,,03/31/2021,03/31/2021,1.131456824,7.204268848
131370123,English River Forest,230,Resolute FP Canada Inc.,542454,2019,2029,Dryden,Northwest,04/01/2008,11933944932,,03/31/2021,03/31/2021,1.489699152,13.01507039
131370124,Timiskaming Forest,280,Timiskaming Forest Alliance Inc.,542247,2011,2021,Kirkland Lake,Northeast,11/26/2015,15389229873,,03/31/2021,03/31/2021,1.85133468,10.48899297
131370125,Kenogami Forest,350,Crown,,2011,2021,Nipigon,Northwest,04/01/2008,19764405106,,03/31/2021,03/31/2021,2.477602787,13.94481126
131370126,French-Severn Forest,360,Westwind Forest Stewardship Inc.,542411,2019,2029,Parry Sound,Southern,04/01/2008,12816772189,,03/31/2021,03/31/2021,1.475327055,19.27581894
131370127,Nagagami Forest,390,Hornepayne Lumber Limited Partnership,550047,2011,2021,Wawa,Northeast,04/01/2003,4482187191,,03/31/2021,03/31/2021,0.5519876,4.983243781
131370128,Ogoki Forest,415,Crown,,2020,2030,Nipigon,Northwest,04/01/2008,10905739586,,03/31/2021,03/31/2021,1.397814964,13.00866234
131370129,Pineland Forest,421,Pineland Timber Company Ltd.,550816,2011,2021,Chapleau,Northeast,11/26/2015,3937833141,,03/31/2021,03/31/2021,0.475223434,5.383459806
131370130,Gordon Cosens Forest,438,Rayonier A.M. Canada G.P.,550039,2020,2030,Hearst,Northeast,04/01/2001,20052870975,,03/31/2021,03/31/2021,2.473943603,9.052500649
131370131,Algonquin Park Forest,451,Algonquin Forestry Authority,0,2020,2021,Algonquin Park,Southern,04/01/1997,7635535662,Provincial Park,03/31/2021,03/31/2021,0.883209032,5.21133909
131370132,Whiskey Jack Forest,490,Crown,,2012,2022,Kenora,Northwest,04/01/2008,10629089379,,03/31/2021,03/31/2021,1.341498029,15.30124307
