
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North American Industry Classification System (NAICS)","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023"
,"Index, 202001=100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manufacturing  [31-33]","95.9","96.1","96.9","97.4","97.6","96.5","95.1","95.4","95.1","96.1","97.6","97.5","98.1","98.3","99.2","99.8","101.0","101.6","101.3","100.8","101.0","101.1","100.2","99.5","99.1","99.4","100.6","101.5","101.4","99.9","99.6","99.8","99.7","99.7","99.8","100.0","100.0","100.0","98.9","97.0","97.9","98.0","99.1","100.1","100.8","100.9","100.5","102.1","104.3","107.4","109.2","111.5","114.8","115.0","115.0","114.6","116.0","117.6","117.6","118.2","121.3","124.6","129.0","130.5","132.7","131.6","128.4","126.5","126.3","129.2","128.2","127.1","127.1","126.4","126.2","125.9","125.2","124.3","124.3","126.5","127.1","126.0","125.6","123.7"
"Food manufacturing  [311]","94.7","95.4","95.8","95.7","96.9","97.9","97.7","97.0","95.3","95.0","95.7","95.5","95.8","95.8","96.0","96.0","96.5","96.9","96.8","95.9","95.7","96.5","96.3","96.4","97.1","96.5","97.1","98.7","99.1","99.0","98.0","99.4","97.6","97.8","98.3","99.5","100.0","99.9","101.0","103.1","107.0","104.0","100.9","100.8","102.5","102.9","102.4","101.9","103.2","105.9","107.4","110.4","113.4","113.9","112.3","114.2","114.1","112.3","112.2","112.3","114.2","117.4","118.9","121.4","123.4","123.3","123.5","124.4","124.7","125.3","125.7","124.8","125.3","125.5","126.3","126.7","126.7","127.3","126.8","127.9","127.0","127.2","127.2","125.8"
"Beverage and tobacco product manufacturing  [312]","94.7","94.9","95.3","95.4","95.5","95.9","95.7","95.8","95.8","96.0","96.0","95.9","96.4","96.6","97.0","97.1","97.5","98.0","98.0","98.0","98.6","98.7","98.6","98.7","99.0","98.9","99.0","99.5","99.5","99.5","99.4","99.6","99.6","99.7","99.4","99.5","100.0","99.3","100.4","101.2","101.0","100.9","100.5","99.7","100.3","100.2","100.8","100.6","100.9","101.7","F","F","101.2","102.1","101.9","101.6","101.5","102.2","102.2","102.4","103.7","105.6","105.7","107.8","108.3","107.9","108.3","111.9","111.4","112.4","114.3","113.8","115.9","116.7","117.6","118.7","119.4","119.3","119.6","119.7","119.3","119.9","119.7","119.9"
"Textile mills  [313]","101.1","99.8","99.1","101.1","101.1","100.4","100.2","98.8","98.2","98.9","100.3","100.2","98.9","100.7","99.2","99.9","100.8","100.4","102.7","101.6","99.8","99.5","100.6","100.0","99.7","100.5","100.0","100.0","101.5","100.5","100.3","100.0","99.7","99.4","100.0","99.7","100.0","99.5","101.2","100.9","102.0","100.7","99.6","99.0","98.8","98.4","99.1","98.8","100.5","100.2","102.9","102.8","101.9","102.2","102.9","105.2","106.1","107.0","107.2","108.0","108.9","110.6","111.3","113.1","116.3","120.0","121.5","124.8","122.8","125.8","125.1","126.8","125.1","125.6","124.8","123.9","122.4","121.2","120.5","123.0","123.5","121.0","120.3","119.8"
"Textile product mills  [314]","94.8","94.4","94.7","95.3","95.4","95.6","93.7","93.3","93.3","94.1","93.9","94.6","94.7","94.9","95.1","95.3","95.2","95.4","96.1","95.5","95.8","95.1","95.6","96.1","95.3","95.7","96.2","96.8","97.3","96.9","95.9","96.1","97.0","97.9","98.8","98.6","100.0","100.3","102.4","102.5","102.4","100.5","99.4","99.4","99.7","100.0","94.9","95.0","97.9","96.5","95.6","98.3","98.2","101.2","103.2","105.9","107.4","107.8","107.3","108.7","115.5","118.1","118.0","118.0","119.0","118.5","120.8","119.7","121.8","126.2","125.6","126.0","124.6","124.2","123.5","121.7","119.8","119.4","118.3","119.9","121.1","120.5","119.8","117.3"
"Clothing manufacturing  [315]","96.6","97.0","97.3","97.3","97.4","97.2","97.1","97.6","96.9","97.3","97.2","97.4","97.3","97.3","97.8","98.0","98.1","98.1","98.4","98.9","99.0","99.0","99.1","99.3","99.3","99.3","99.5","99.5","99.6","99.5","99.4","99.3","99.2","99.7","99.7","99.8","100.0","99.8","100.2","100.3","100.4","100.3","100.2","100.1","100.2","100.2","100.2","100.1","100.2","100.3","100.6","101.4","102.0","101.9","102.0","102.2","102.3","102.0","102.3","102.8","105.0","105.0","105.0","103.4","104.3","104.1","105.2","105.3","104.3","105.1","105.8","105.8","107.9","109.3","109.6","109.6","109.5","109.7","107.1","108.3","106.8","107.7","107.5","107.6"
"Leather and allied product manufacturing  [316]","93.9","93.7","94.0","94.1","93.9","93.8","93.0","92.9","93.4","94.3","95.1","95.2","95.0","95.3","97.2","97.1","98.0","97.0","97.4","97.1","99.2","96.9","97.1","97.3","97.4","97.2","98.1","97.6","97.6","97.7","97.7","98.2","98.8","99.1","99.3","98.8","100.0","97.0","100.0","100.2","100.0","100.2","99.0","98.9","100.6","100.8","101.0","104.4","105.0","105.4","105.1","105.4","107.3","107.6","113.3","104.5","104.6","106.9","107.1","105.8","118.8","117.9","122.3","115.5","119.2","119.5","119.7","119.8","124.6","110.3","114.0","113.4","119.5","118.9","126.7","132.1","126.3","125.8","153.0","147.4","147.1","147.9","152.7","155.5"
"Wood product manufacturing  [321]","92.9","93.3","95.0","96.3","97.0","96.5","97.8","98.2","97.9","97.9","97.4","96.9","97.9","99.0","100.2","102.0","106.0","107.4","108.0","104.9","104.7","101.2","101.0","101.6","101.6","100.9","101.9","101.3","100.0","100.4","101.4","101.4","100.7","100.6","100.6","100.6","100.0","104.7","106.7","101.4","102.3","105.0","116.6","130.2","145.4","141.8","129.9","142.1","153.5","160.8","172.6","190.4","224.0","209.3","169.2","138.4","137.1","138.9","138.1","158.9","176.9","187.4","201.2","187.8","181.9","149.3","151.1","148.3","140.2","139.2","135.6","130.2","124.5","127.3","124.7","122.1","122.3","121.1","127.0","125.5","126.1","122.3","122.8","122.0"
"Paper manufacturing  [322]","91.1","91.2","92.5","94.0","96.1","95.7","94.0","94.9","93.6","95.1","97.5","98.6","99.3","100.2","104.3","103.9","104.9","107.1","107.6","107.3","107.1","106.1","107.9","108.6","107.5","106.8","106.7","107.4","105.8","103.0","103.3","103.5","102.2","100.8","101.1","100.7","100.0","100.3","103.8","104.1","104.5","103.4","101.2","97.9","96.5","97.6","98.0","96.9","98.3","100.7","101.7","104.8","104.8","106.1","107.7","109.8","109.5","108.0","107.9","108.6","109.5","111.1","113.9","115.8","119.7","121.1","123.5","123.7","126.2","129.2","127.4","128.0","127.3","127.0","129.2","125.1","122.2","119.0","117.4","119.6","119.9","122.0","121.4","120.0"
