

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North American Product Classification System (NAPCS)","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023"
,"Index, 202001=100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, Raw materials price indexes (RMPI)","95.2","96.6","95.0","96.7","95.0","91.6","90.8","91.6","91.5","94.9","100.1","99.3","102.7","102.5","104.7","105.5","109.5","110.2","111.0","105.7","104.8","102.5","90.3","93.8","97.4","100.2","103.0","108.9","106.1","99.7","101.0","99.2","99.2","97.2","98.6","101.2","100.0","96.3","85.6","74.5","85.7","90.4","92.5","97.6","96.1","96.3","96.9","100.3","105.8","112.8","115.2","116.3","120.1","124.7","128.5","124.7","127.6","133.6","133.3","129.6","138.3","147.0","164.3","160.9","165.9","166.6","154.8","148.2","143.7","145.3","144.7","141.3","140.8","141.1","139.6","143.4","135.7","133.0","137.9","142.6","147.9","144.0","136.9","130.2"
"Crude energy products  [M51]","95.2","96.0","91.8","95.5","90.7","82.5","81.9","84.4","87.7","93.8","103.6","101.6","107.5","105.5","111.2","114.7","122.8","121.1","125.6","118.2","117.3","109.3","81.8","90.4","98.3","104.0","109.5","120.0","114.9","101.6","105.6","101.1","103.8","98.5","101.9","107.3","100.0","90.8","57.9","30.4","58.7","71.2","75.7","77.0","72.6","72.4","74.0","81.8","90.9","105.2","111.0","107.4","109.9","120.5","126.1","118.8","127.4","143.6","137.5","126.6","147.7","164.4","196.0","184.7","202.1","210.7","190.8","173.1","167.8","171.4","167.4","153.1","150.7","149.5","143.3","149.5","134.8","131.1","141.5","153.0","169.1","161.1","140.1","125.7"
"Total, excluding crude energy products","96.3","98.2","98.5","98.7","99.4","99.6","98.6","98.3","95.4","96.9","98.6","98.7","100.2","101.4","100.9","99.8","100.7","103.2","101.2","97.4","96.3","98.5","97.8","97.5","97.8","98.4","99.2","101.5","100.6","99.4","98.6","98.9","96.8","97.3","97.1","97.6","100.0","99.4","101.5","99.9","101.3","101.4","102.2","109.5","109.6","110.1","110.0","110.9","114.4","117.2","117.6","121.4","125.9","127.1","129.8","128.1","127.8","127.8","130.9","131.4","132.8","136.9","146.0","147.2","145.1","141.2","134.2","134.0","129.8","130.2","131.6","134.5","135.1","136.2","137.5","139.9","136.2","134.1","135.7","136.5","135.7","134.2","135.1","132.8"
"Crop products  [M11]","96.8","96.3","95.4","95.3","95.9","96.4","97.7","95.3","93.2","94.2","96.0","95.7","95.1","96.3","97.7","97.2","98.6","97.0","95.3","96.1","95.1","96.4","96.3","97.2","97.8","98.1","97.9","97.5","97.9","99.6","99.4","97.0","96.8","98.6","98.7","99.1","100.0","98.9","99.8","100.3","100.7","100.3","101.2","100.7","102.8","106.0","109.5","111.2","121.1","126.0","130.1","134.0","142.5","136.9","145.6","150.7","154.4","157.7","166.9","168.8","168.4","168.2","177.3","184.6","187.2","178.7","162.2","156.7","154.9","160.1","158.1","157.3","157.1","158.4","152.1","149.7","144.7","145.7","151.6","150.4","147.5","142.3","141.8","137.1"
"Animals and animal products  [M21]","99.0","102.2","103.4","102.6","106.5","108.2","107.7","103.7","96.2","96.5","99.0","99.2","101.9","102.6","99.8","96.9","99.3","103.3","104.3","96.7","96.1","99.9","97.8","96.2","98.2","97.4","98.6","106.1","106.6","103.7","101.4","103.4","97.1","98.3","97.5","98.9","100.0","98.7","99.0","96.4","99.4","98.7","93.9","95.3","96.3","98.8","97.5","96.6","98.3","100.8","103.0","111.5","112.4","114.6","117.3","117.5","115.9","114.3","112.0","112.8","113.5","118.4","121.8","123.0","123.0","122.1","124.6","126.7","125.7","126.2","125.6","123.5","123.2","125.4","129.2","135.1","131.2","133.6","137.7","138.6","135.7","135.2","133.5","132.2"
"Non-metallic minerals  [M31]","95.5","95.7","97.1","97.7","98.2","97.5","96.3","95.8","95.4","95.9","96.3","96.2","96.6","99.2","100.4","100.4","100.4","99.6","99.8","99.5","99.9","98.1","98.2","98.7","99.1","99.0","99.7","99.6","99.2","98.2","98.4","98.6","98.6","98.4","98.5","98.8","100.0","99.9","102.6","103.0","102.7","102.5","102.1","103.0","104.2","104.4","103.4","104.3","107.1","107.8","108.6","110.0","109.5","109.5","110.7","111.9","111.7","112.5","114.7","116.7","119.9","121.5","125.5","129.1","136.1","136.5","128.3","118.9","115.5","118.9","121.2","122.5","122.4","125.1","129.4","130.2","131.0","129.7","129.8","130.8","131.0","131.6","131.6","131.4"
"Logs, pulpwood, natural rubber and other forestry products  [M41]","99.7","100.4","98.3","97.9","97.6","95.5","95.8","97.0","97.5","96.7","98.1","99.8","101.5","102.5","104.5","104.0","105.1","104.7","104.1","105.1","105.0","105.7","104.9","105.0","105.3","105.5","105.8","106.5","105.8","104.6","102.0","98.7","98.4","98.1","98.1","95.6","100.0","99.5","98.8","94.7","95.8","92.6","92.5","94.5","96.8","100.4","102.5","106.3","107.2","109.2","111.5","113.1","118.1","124.4","126.7","126.7","123.0","126.3","130.4","135.8","140.1","145.7","151.6","153.8","157.3","155.4","156.0","152.0","133.2","121.0","123.8","125.4","126.0","125.8","123.0","116.8","115.9","117.4","119.3","121.7","126.8","129.5","125.7","123.5"
"Metal ores, concentrates and scrap  [M61]","93.7","95.9","96.4","97.7","95.9","95.2","92.6","96.0","95.7","98.7","99.9","99.9","101.5","103.1","103.2","102.9","102.3","106.4","101.3","97.4","95.7","97.5","97.7","97.7","96.4","98.6","99.5","99.5","96.7","95.5","95.8","96.5","96.3","95.9","96.0","96.4","100.0","100.1","104.6","103.1","104.0","105.9","110.9","128.1","126.0","123.2","122.0","123.2","125.8","128.2","125.2","126.2","132.0","134.4","134.7","127.9","127.4","126.3","130.5","128.9","130.7","136.2","150.8","148.7","140.7","135.7","124.4","126.6","122.4","123.1","127.0","135.7","137.4","137.8","141.3","145.4","141.3","133.5","131.5","132.7","132.9","131.0","135.8","133.5"

